UNITID,INSTNM,CITY,STABBR,sector,UGDS,annual_net_cost,median_debt,midcareer_earnings,earn_premium_10yr,roi_debt_adjusted,payback_period_years,npv_10yr,npv_20yr,npv_30yr,debt_to_earnings_ratio
147378,Moraine Valley Community College,Palos Hills,IL,Public,7417.0,1771.0,9500.0,43892.0,-11508.0,3.854884246188594,,-244064.3193587247,-330356.3258467583,-374129.07175509067,0.21644035359518818
136145,North Florida College,Madison,FL,Public,817.0,1799.0,,33929.0,-21471.0,3.714980544747082,,-282833.15532112465,-429707.9971636995,-523371.25033294706,
111461,College of the Canyons,Santa Clarita,CA,Public,15365.0,2114.0,9612.0,49022.0,-6378.0,3.660596026490066,,-225399.43360963414,-280497.02622947586,-298580.89306037227,0.1960752315287014
198455,Durham Technical Community College,Durham,NC,Public,3195.0,1183.0,14750.0,36142.0,-19258.0,3.5207100591715976,,-272008.31007706304,-405426.3804010592,-488007.86175775976,0.4081124453544353
460464,Norco College,Norco,CA,Public,8359.0,2845.0,,51206.0,-4194.0,3.4996485061511424,,-219576.6085493169,-261393.7723410629,-268541.0871436709,
101897,Northeast Alabama Community College,Rainsville,AL,Public,1547.0,1612.0,6100.0,34913.0,-20487.0,3.468517369727047,,-278335.3823071643,-419226.7342381796,-507962.5299001762,0.17472001833128062
226408,College of the Mainland,Texas City,TX,Public,3342.0,1975.0,5960.0,39639.0,-15761.0,3.263164556962025,,-261311.0507361746,-373464.6249008984,-438534.60330754175,0.15035697166931558
190549,CUNY Brooklyn College,Brooklyn,NY,Public,10443.0,2943.0,11000.0,60752.0,5352.0,3.2262996941896023,28.96,-182883.54969729634,-166653.56440799742,-125998.53229575076,0.18106399789307348
190567,CUNY City College,New York,NY,Public,11934.0,3486.0,11990.0,66039.0,10639.0,2.8761474469305797,16.85,-164335.31345108277,-115956.23145201184,-48826.13039582677,0.18155938157755266
115393,Hartnell College,Salinas,CA,Public,7153.0,2895.0,,44316.0,-11084.0,2.8269430051813473,,-246498.74371947002,-330212.4984569942,-371862.03096789325,
226107,Lamar State College-Orange,Orange,TX,Public,1426.0,1691.0,10959.0,36587.0,-18813.0,2.788882318154938,,-272125.2163020771,-402837.3384445245,-483190.4472496735,0.29953262087626753
190600,CUNY John Jay College of Criminal Justice,New York,NY,Public,11340.0,3046.0,11000.0,56195.0,795.0,2.7093729481286934,172.53,-200943.50994219322,-212423.65018844028,-194588.15451983406,0.19574695257585195
451404,Talmudical Seminary of Bobov,Brooklyn,NY,Private Nonprofit,515.0,1525.0,,22432.0,-32968.0,2.6773770491803277,,-326459.3394696763,-543244.9369150976,-694480.3231746532,
124113,Taft College,Taft,CA,Public,3216.0,2699.0,,38861.0,-16539.0,2.5995739162652836,,-266958.5750292122,-383842.99792482366,-452808.8726126063,
122205,Saddleback College,Mission Viejo,CA,Public,15959.0,2976.0,9500.0,50874.0,-4526.0,2.475638440860215,,-221340.64334557668,-265176.626904231,-273986.4578576593,0.18673585721586666
