major_title,median_earnings,median_debt,earn_premium,est_payback_years,programs_count
Atmospheric Sciences and Meteorology,48001.0,24000.0,-7399.0,29.325,17
Entrepreneurial and Small Business Operations,47731.0,22249.0,-7669.0,25.119999999999997,86
Forestry,47676.5,20581.5,-7723.5,29.22,32
Geography and Cartography,47450.5,20163.5,-7949.5,81.65,128
"Foods, Nutrition, and Related Services",47093.0,22745.5,-8307.0,63.18,59
"Biochemistry, Biophysics and Molecular Biology",46637.0,21362.0,-8763.0,30.064999999999998,147
"Social Sciences, Other",46334.0,22620.0,-9066.0,34.905,45
Interior Architecture,46252.0,22254.0,-9148.0,148.99,17
Nutrition Sciences,45970.5,20750.0,-9429.5,244.385,56
"Biology, General",45731.0,23250.0,-9669.0,49.1,932
International/Global Studies,45649.5,20500.0,-9750.5,43.065,90
"Multi/Interdisciplinary Studies, Other",45483.0,22123.0,-9917.0,33.075,240
Area Studies,45319.5,19999.0,-10080.5,48.59,84
Computer Software and Media Applications,45273.0,28735.0,-10127.0,16.064999999999998,89
Natural Resources Conservation and Research,45254.0,21125.0,-10146.0,40.05,289
"Romance Languages, Literatures, and Linguistics",45251.5,20750.0,-10148.5,42.21,268
Apparel and Textiles,45155.0,22700.0,-10245.0,86.205,62
Criminology,45113.0,23250.0,-10287.0,90.05000000000001,121
Criminal Justice and Corrections,45085.0,24685.0,-10315.0,58.71,755
Communication and Media Studies,44727.0,22791.5,-10673.0,44.8,713
"Teacher Education and Professional Development, Specific Subject Areas",44714.0,25000.0,-10686.0,73.13,419
Plant Sciences,44652.5,17924.0,-10747.5,66.17,54
Journalism,44502.0,22483.5,-10898.0,68.725,207
Special Education and Teaching,44330.0,24883.0,-11070.0,68.45,221
Neurobiology and Neurosciences,44237.0,21168.0,-11163.0,43.02,101
Family and Consumer Economics and Related Studies,44217.0,20645.0,-11183.0,36.935,18
Security Science and Technology,44168.0,24121.0,-11232.0,34.585,53
Natural Resources Management and Policy,44047.5,23160.0,-11352.5,20.27,34
Community Organization and Advocacy,43904.0,24151.0,-11496.0,28.560000000000002,23
Sociology,43888.0,22625.0,-11512.0,35.620000000000005,509
"East Asian Languages, Literatures, and Linguistics",43544.5,21040.0,-11855.5,31.880000000000003,26
Legal Support Services,43482.0,25390.0,-11918.0,,50
Hospitality Administration/Management,43422.0,22100.0,-11978.0,85.515,153
"Agriculture, General",43282.0,19400.0,-12118.0,158.81,52
Rehabilitation and Therapeutic Professions,43277.0,25000.0,-12123.0,26.134999999999998,78
"Legal Professions and Studies, Other",43264.0,24937.5,-12136.0,46.99,15
Public Health,43159.5,23250.0,-12240.5,34.120000000000005,232
Social Work,43103.0,23247.0,-12297.0,66.06,454
"Specialized Sales, Merchandising and  Marketing Operations",43005.5,26000.0,-12394.5,33.225,72
Health and Physical Education/Fitness,42768.5,24068.0,-12631.5,68.81,632
"Education, General",42725.0,24585.0,-12675.0,41.724999999999994,87
Animal Sciences,42640.0,20800.0,-12760.0,174.72,87
"Communication, Journalism, and Related Programs, Other",42559.0,24250.0,-12841.0,75.05,29
Mental and Social Health Services and Allied Professions,42435.0,25370.0,-12965.0,179.83,60
History,42318.0,21500.0,-13082.0,32.295,519
"Social Sciences, General",42246.5,22500.0,-13153.5,15.11,98
"Ethnic, Cultural Minority, Gender, and Group Studies",42007.0,21215.0,-13393.0,426.77,108
"Psychology, General",41799.0,23250.0,-13601.0,48.01,1119
"Liberal Arts and Sciences, General Studies and Humanities",41724.5,23000.0,-13675.5,41.445,522
"Teacher Education and Professional Development, Specific Levels and Methods",41686.0,24191.0,-13714.0,94.25,779
"Health Services/Allied Health/Health Sciences, General",41543.0,24000.0,-13857.0,23.41,181
"Multi-/Interdisciplinary Studies, General",41524.0,23869.0,-13876.0,39.55,67
"Parks, Recreation and Leisure Studies",41484.0,20250.0,-13916.0,31.14,67
Design and Applied Arts,41216.0,26000.0,-14184.0,41.995000000000005,384
Philosophy,41206.5,20500.0,-14193.5,25.68,104
"Clinical, Counseling and Applied Psychology",41118.0,25000.0,-14282.0,41.085,75
Sustainability Studies,40488.0,19047.0,-14912.0,36.68,27
"English Language and Literature, General",40281.0,21750.0,-15119.0,80.96000000000001,626
"Radio, Television, and Digital Communication",40098.0,22468.0,-15302.0,51.71,161
Research and Experimental Psychology,39922.5,19320.5,-15477.5,90.79,96
"Human Services, General",39660.5,26000.0,-15739.5,24.415,100
"Parks, Recreation and Leisure Facilities Management",39565.0,23125.0,-15835.0,28.66,61
"Linguistic, Comparative, and Related Language Studies and Services",39194.0,19798.0,-16206.0,135.515,106
"Human Development, Family Studies, and Related Services",38803.0,22913.5,-16597.0,33.85,181
Agricultural Production Operations,38787.0,21811.0,-16613.0,75.84,22
"Ecology, Evolution, Systematics, and Population Biology",38304.5,21410.0,-17095.5,29.16,74
Veterinary/Animal Health Technologies/Technicians,38174.5,23626.0,-17225.5,,16
Behavioral Sciences,37783.0,25014.5,-17617.0,,26
"Education, Other",37761.0,24562.5,-17639.0,59.75,30
Wildlife and Wildlands Science and Management,37207.0,21687.5,-18193.0,,39
"Family and Consumer Sciences/Human Sciences, General",37008.0,23753.5,-18392.0,,52
Bible/Biblical Studies,36626.0,23562.5,-18774.0,26.54,49
Anthropology,36525.0,20659.5,-18875.0,142.29,210
Educational Administration and Supervision,36299.0,26616.0,-19101.0,107.0,15
Graphic Communications,36185.0,26979.0,-19215.0,21.04,70
Religious Education,36148.0,25218.5,-19252.0,,17
Rhetoric and Composition/Writing Studies,36138.5,23250.0,-19261.5,28.57,148
"Arts, Entertainment,and Media Management",35853.5,25000.0,-19546.5,85.63,50
American Sign Language,35419.5,23500.0,-19980.5,,22
