school,midcareer_pay,annual_cost,median_debt,total_cost,roi_debt_adjusted,earn_premium,break_even_years,sector
Carrington College-Phoenix North,36718.0,,9298.0,,,-1702.0,,Private_forprofit
Carrington College-Mesa,36718.0,,9298.0,,,-1702.0,,Private_forprofit
Carrington College-Tucson,36718.0,,9298.0,,,-1702.0,,Private_forprofit
Arizona Academy of Beauty,21201.0,,4750.0,,,-17219.0,,Private_forprofit
Miller-Motte College-Arizona Automotive Institute,31102.0,,10661.0,,,-7318.0,,Private_forprofit
Brookline College-Phoenix,29576.0,,9500.0,,,-8844.0,,Private_forprofit
Arizona State University Campus Immersion,62668.0,12051.0,13610.0,12051.0,3.0708654883412163,24248.0,1.0582728472451337,Public
Arizona Western College,36857.0,3020.0,4500.0,3020.0,9.714238410596026,-1563.0,,Public
University of Arizona,59979.0,13626.0,13750.0,13626.0,2.392705122559812,21559.0,1.2698177095412588,Public
Central Arizona College,40513.0,2250.0,6157.0,2250.0,14.269333333333334,2093.0,4.016722408026756,Public
Charles of Italy Beauty College,26269.0,,7000.0,,,-12151.0,,Private_forprofit
Cochise County Community College District,38033.0,2232.0,5500.0,2232.0,13.575716845878135,-387.0,,Public
Empire Beauty School-Chandler,23921.0,,7851.0,,,-14499.0,,Private_forprofit
Avalon Institute-Mesa,30803.0,,6312.0,,,-7617.0,,Private_forprofit
Eastern Arizona College,38018.0,2352.0,,2352.0,,-402.0,,Public
Embry-Riddle Aeronautical University-Prescott,84131.0,42204.0,14250.0,42204.0,0.6557909202919154,45711.0,1.2350200170637264,Private_nonprofit
The School of Architecture,,,,,,,,Private_nonprofit
Glendale Community College,43108.0,2358.0,4500.0,2358.0,15.373197625106021,4688.0,1.4628839590443685,Public
Grand Canyon University,42186.0,17450.0,12500.0,17450.0,0.7012034383954154,3766.0,7.952734997344662,Private_forprofit
GateWay Community College,46147.0,2358.0,4500.0,2358.0,16.662001696352842,7727.0,0.8875372071955481,Public
Mesa Community College,44034.0,2358.0,4500.0,2358.0,15.76590330788804,5614.0,1.2215888849305307,Public
Mohave Community College,35522.0,2136.0,8000.0,2136.0,11.884831460674157,-2898.0,,Public
Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,48341.0,,10247.0,,,9921.0,,Private_forprofit
Dine College,29188.0,1410.0,,1410.0,,-9232.0,,Public
Northern Arizona University,54384.0,12652.0,12916.0,12652.0,2.2775845716092316,15964.0,1.601603608118266,Public
Northland Pioneer College,34199.0,2428.0,,2428.0,,-4221.0,,Public
Phoenix College,40870.0,2358.0,5250.0,2358.0,14.106022052586939,2450.0,3.1053061224489795,Public
Pima Community College,39810.0,2370.0,4500.0,2370.0,13.89873417721519,1390.0,4.942446043165468,Public
Pima Medical Institute-Tucson,38673.0,,9500.0,,,253.0,,Private_forprofit
Pima Medical Institute-Albuquerque,30917.0,,5250.0,,,-7503.0,,Private_forprofit
Prescott College,42359.0,35685.0,12500.0,35685.0,-0.16326187473728457,3939.0,12.232800203097232,Private_nonprofit
Refrigeration School Inc,52953.0,,7917.0,,,14533.0,,Private_forprofit
Rio Salado College,41015.0,2358.0,4375.0,2358.0,14.538592027141645,2595.0,2.5946050096339115,Public
Roberto-Venn School of Luthiery,35209.0,,7307.0,,,-3211.0,,Private_forprofit
Scottsdale Community College,47905.0,2358.0,4500.0,2358.0,17.40754877014419,9485.0,0.7230363732208751,Public
South Mountain Community College,39825.0,2358.0,4500.0,2358.0,13.98091603053435,1405.0,4.881138790035587,Public
Arizona Christian University,51612.0,34697.0,6251.0,34697.0,0.30734645646597686,13192.0,3.104002425712553,Private_nonprofit
Universal Technical Institute of Arizona Inc,52873.0,,11183.0,,,14453.0,,Private_forprofit
Yavapai College,39890.0,2838.0,6762.0,2838.0,10.673009161381254,1470.0,6.530612244897959,Public
University of Arkansas at Little Rock,45265.0,8455.0,14500.0,8455.0,2.638675340035482,6845.0,3.3535427319211104,Public
University of Arkansas for Medical Sciences,73827.0,,13000.0,,,35407.0,,Public
Arkansas Baptist College,28418.0,8760.0,8250.0,8760.0,1.302283105022831,-10002.0,,Private_nonprofit
Arkansas Beauty School-Little Rock,18078.0,,6333.0,,,-20342.0,,Private_forprofit
Arkansas Beauty College,16857.0,,7000.0,,,-21563.0,,Private_forprofit
Lyon College,44232.0,31000.0,10699.0,31000.0,0.08170967741935484,5812.0,7.174638678596009,Private_nonprofit
Arkansas Technical School,16209.0,,9833.0,,,-22211.0,,Private_forprofit
University of Arkansas,58191.0,9748.0,15749.0,9748.0,3.3539187525646286,19771.0,1.2896161043953265,Public
University of Arkansas at Pine Bluff,35550.0,9019.0,14328.0,9019.0,1.3530324869719481,-2870.0,,Public
Arkansas State University-Beebe,36603.0,3216.0,5500.0,3216.0,8.671330845771145,-1817.0,,Public
Arkansas State University,42617.0,7754.0,15000.0,7754.0,2.561645602269796,4197.0,5.421491541577317,Public
Arkansas Tech University,41766.0,8508.0,11350.0,8508.0,2.5749882463563707,3346.0,5.934847579199044,Public
University of Arkansas at Monticello,36902.0,8868.0,11364.0,8868.0,1.8797925124041497,-1518.0,,Public
Arthur's Beauty College,21954.0,,7931.0,,,-16466.0,,Private_forprofit
Baptist Health College Little Rock,62244.0,13593.0,9500.0,13593.0,2.880232472596189,23824.0,0.9693166554734721,Private_nonprofit
Black River Technical College,34818.0,4584.0,6000.0,4584.0,5.286649214659686,-3602.0,,Public
University of Central Arkansas,45938.0,10118.0,13000.0,10118.0,2.2553864400079067,7518.0,3.075019952114924,Public
Central Baptist College,46789.0,19680.0,12876.0,19680.0,0.7232215447154472,8369.0,3.8900704982674155,Private_nonprofit
Cossatot Community College of the University of Arkansas,33775.0,3906.0,,3906.0,,-4645.0,,Public
Crowley's Ridge College,39533.0,16440.0,13918.0,16440.0,0.5580900243309003,1113.0,27.275831087151843,Private_nonprofit
East Arkansas Community College,28471.0,3960.0,4750.0,3960.0,4.990151515151515,-9949.0,,Public
Paul Mitchell the School-Little Rock,24765.0,,9833.0,,,-13655.0,,Private_forprofit
National Park College,32444.0,5600.0,6250.0,5600.0,3.6775,-5976.0,,Public
University of Arkansas Community College-Batesville,33706.0,3558.0,7085.0,3558.0,6.482012366498033,-4714.0,,Public
Harding University,52876.0,24888.0,21601.0,24888.0,0.25662970106075217,14456.0,3.215896513558384,Private_nonprofit
Henderson State University,43459.0,7885.0,12000.0,7885.0,2.9897273303741283,5039.0,3.9462194879936496,Public
Hendrix College,60376.0,36650.0,19500.0,36650.0,0.11530695770804911,21956.0,2.557387502277282,Private_nonprofit
Hot Springs Beauty College,21563.0,,8000.0,,,-16857.0,,Private_forprofit
Jefferson Regional School of Nursing,73975.0,,7500.0,,,35555.0,,Private_nonprofit
John Brown University,53907.0,30832.0,17000.0,30832.0,0.1970355474831344,15487.0,3.088525860399044,Private_nonprofit
Career Academy of Hair Design,21567.0,,5531.0,,,-16853.0,,Private_forprofit
Academy of Salon and Spa,16941.0,,4398.0,,,-21479.0,,Private_forprofit
Arkansas State University Mid-South,31857.0,3048.0,,3048.0,,-6563.0,,Public
Arkansas Northeastern College,33169.0,2570.0,,2570.0,,-5251.0,,Public
New Tyler Barber College Inc,18715.0,,9500.0,,,-19705.0,,Private_forprofit
North Arkansas College,34653.0,3168.0,5928.0,3168.0,8.067234848484848,-3767.0,,Public
Northwest Technical Institute,41513.0,5184.0,,5184.0,,3093.0,,Public
Ouachita Baptist University,51673.0,32480.0,15000.0,32480.0,0.12909482758620688,13253.0,3.582585075077341,Private_nonprofit
Arkansas State University Three Rivers,37374.0,3568.0,6500.0,3568.0,7.653026905829597,-1046.0,,Public
Ozarka College,29314.0,3820.0,7713.0,3820.0,4.6547120418848165,-9106.0,,Public
University of the Ozarks,44384.0,25950.0,11000.0,25950.0,0.2864739884393064,5964.0,6.1955063715627094,Private_nonprofit
University of Arkansas Community College-Morrilton,34924.0,3504.0,6300.0,3504.0,7.168949771689498,-3496.0,,Public
Philander Smith University,38427.0,13014.0,14750.0,13014.0,0.8193483940371907,7.0,3966.285714285714,Private_nonprofit
Phillips Community College of the University of Arkansas,29552.0,3230.0,3500.0,3230.0,7.065634674922601,-8868.0,,Public
Southeast Arkansas College,33603.0,4960.0,6186.0,4960.0,4.527620967741935,-4817.0,,Public
University of Aesthetics & Cosmetology,26754.0,,9833.0,,,-11666.0,,Private_forprofit
University of Arkansas-Pulaski Technical College,34722.0,4848.0,7000.0,4848.0,4.718234323432343,-3698.0,,Public
University of Arkansas Hope-Texarkana,34162.0,3400.0,3500.0,3400.0,8.018235294117646,-4258.0,,Public
University of Arkansas Community College Rich Mountain,30037.0,3528.0,4875.0,3528.0,6.132086167800454,-8383.0,,Public
Paul Mitchell the School-Arkansas,20077.0,,9753.0,,,-18343.0,,Private_forprofit
Searcy Beauty College,19896.0,,9500.0,,,-18524.0,,Private_forprofit
Shorter College,,6246.0,22625.0,6246.0,,,,Private_nonprofit
Williams Baptist University,38484.0,20330.0,9500.0,20330.0,0.42567634038366947,64.0,466.09375,Private_nonprofit
South Arkansas College,34521.0,3204.0,7000.0,3204.0,7.5895755305867665,-3899.0,,Public
Southern Arkansas University Main Campus,42386.0,9820.0,12500.0,9820.0,2.0433808553971486,3966.0,5.627836611195159,Public
Southern Arkansas University Tech,36376.0,4685.0,4500.0,4685.0,5.803842049092849,-2044.0,,Public
Velvatex College of Beauty Culture,17412.0,,,,,-21008.0,,Private_forprofit
University of Arkansas-Fort Smith,41102.0,6906.0,10750.0,6906.0,3.395018824210831,2682.0,6.583146905294556,Public
Academy of Art University,39008.0,28024.0,11000.0,28024.0,-0.0005709391949757351,588.0,66.36734693877551,Private_forprofit
Academy of Chinese Culture and Health Sciences,,,,,,,,Private_nonprofit
College of Alameda,42563.0,1148.0,9500.0,1148.0,27.800522648083625,4143.0,2.5701182717837314,Public
Allan Hancock College,42786.0,1156.0,7888.0,1156.0,29.188581314878892,4366.0,2.071461291800275,Public
American Academy of Dramatic Arts-Los Angeles,27019.0,39475.0,12000.0,39475.0,-0.6195313489550348,-11401.0,,Private_nonprofit
Berkeley School of Theology,,2896.0,,2896.0,,,,Private_nonprofit
American Film Institute Conservatory,,,,,,,,Private_nonprofit
American Beauty College,22481.0,,4923.0,,,-15939.0,,Private_forprofit
American Career College-Los Angeles,38430.0,,9500.0,,,10.0,,Private_forprofit
American River College,40162.0,1288.0,9354.0,1288.0,22.919254658385093,1742.0,6.109070034443169,Public
Antelope Valley Community College District,36526.0,1124.0,8619.0,1124.0,23.82829181494662,-1894.0,,Public
