school,midcareer_pay,annual_cost,median_debt,total_cost,roi_debt_adjusted,earn_premium,break_even_years,sector
Kansas City Art Institute,37032.0,43550.0,21500.0,43550.0,-0.6433524684270953,-1388.0,,Private_nonprofit
Kenrick Glennon Seminary,,,,,,,,Private_nonprofit
A T Still University of Health Sciences,,,,,,,,Private_nonprofit
Lex La-Ray Technical Center,52142.0,,13889.0,,,13722.0,,Public
Lincoln University,39463.0,9290.0,19000.0,9290.0,1.2026910656620022,1043.0,27.123681687440076,Public
Lindenwood University,53278.0,21100.0,20500.0,21100.0,0.5534597156398104,14858.0,2.7998384708574506,Private_nonprofit
State Technical College of Missouri,55901.0,7830.0,8500.0,7830.0,5.053767560664112,17481.0,0.9341570848349636,Public
Logan University,55838.0,9000.0,7767.0,9000.0,4.341222222222222,17418.0,0.9626248708232863,Private_nonprofit
Metropolitan Community College-Kansas City,40796.0,3630.0,6500.0,3630.0,8.447933884297521,2376.0,4.263468013468014,Public
Maryville University of Saint Louis,62105.0,27166.0,10041.0,27166.0,0.9165132886696606,23685.0,1.5709098585602703,Private_nonprofit
Missouri College of Cosmetology and Esthetics,26738.0,,6125.0,,,-11682.0,,Private_forprofit
Midwest Institute,30414.0,,9500.0,,,-8006.0,,Private_forprofit
Midwestern Baptist Theological Seminary,50535.0,9400.0,9995.0,9400.0,3.3127659574468087,12115.0,1.6009079653322327,Private_nonprofit
Mineral Area College,35352.0,5180.0,7815.0,5180.0,4.316023166023166,-3068.0,,Public
Missouri Baptist University,46660.0,33122.0,17726.0,33122.0,-0.12644163999758468,8240.0,6.170873786407767,Private_nonprofit
Missouri Southern State University,42620.0,8400.0,11650.0,8400.0,2.6869047619047617,4200.0,4.773809523809524,Public
Missouri Valley College,43221.0,23000.0,10250.0,23000.0,0.4335217391304348,4801.0,6.925640491564257,Private_nonprofit
Missouri Western State University,42647.0,9800.0,11920.0,9800.0,2.135408163265306,4227.0,5.138396025550035,Public
University of Missouri-Columbia,63403.0,14130.0,16500.0,14130.0,2.319391365888181,24983.0,1.2260337029179842,Public
University of Missouri-Kansas City,59637.0,11988.0,14835.0,11988.0,2.7372372372372373,21217.0,1.2642220860630626,Public
Missouri University of Science and Technology,82957.0,14278.0,19000.0,14278.0,3.4794088807956296,44537.0,0.7471989581696118,Public
University of Missouri-St Louis,53037.0,13440.0,16500.0,13440.0,1.7185267857142856,14617.0,2.0482999247451597,Public
Moberly Area Community College,37537.0,4020.0,8000.0,4020.0,6.347512437810945,-883.0,,Public
Nazarene Theological Seminary,,,,,,,,Private_nonprofit
Neosho Beauty College,18280.0,,7917.0,,,-20140.0,,Private_forprofit
Truman State University,56280.0,9470.0,16679.0,9470.0,3.1817317845828934,17860.0,1.4641097424412095,Public
Northwest Missouri State University,47885.0,10181.0,14927.0,10181.0,2.2372065612415284,9465.0,2.6527205493924986,Public
Ozark Christian College,41297.0,15550.0,9784.0,15550.0,1.0265594855305467,2877.0,8.805700382342717,Private_nonprofit
College of the Ozarks,41592.0,21290.0,,21290.0,,3172.0,,Private_nonprofit
Park University,56309.0,16400.0,12500.0,16400.0,1.6712804878048781,17889.0,1.6155179160377886,Private_nonprofit
Stevens-The Institute of Business & Arts,29058.0,12968.0,21000.0,12968.0,-0.3786243059839605,-9362.0,,Private_forprofit
Poplar Bluff Technical Career Center,37750.0,,4750.0,,,-670.0,,Public
Ranken Technical College,55955.0,17490.0,9813.0,17490.0,1.638193253287593,17535.0,1.5570573139435415,Private_nonprofit
Research College of Nursing,85910.0,,12500.0,,,47490.0,,Private_forprofit
Rockhurst University,67102.0,43420.0,12500.0,43420.0,0.25753109166282817,28682.0,1.9496548357855101,Private_nonprofit
Saint Louis University,70783.0,53244.0,19500.0,53244.0,-0.036830440988655996,32363.0,2.2477520625405556,Private_nonprofit
Salem College of Hairstyling,18275.0,,,,,-20145.0,,Private_forprofit
University of Health Sciences and Pharmacy in St. Louis,137047.0,31920.0,14000.0,31920.0,2.854855889724311,98627.0,0.4655925862086447,Private_nonprofit
Saint Louis Community College,35325.0,3660.0,3839.0,3660.0,7.602732240437159,-3095.0,,Public
Saint Paul School of Theology,,,,,,,,Private_nonprofit
Southwest Baptist University,43112.0,28320.0,14000.0,28320.0,0.027966101694915254,4692.0,9.019607843137255,Private_nonprofit
Missouri State University-West Plains,36922.0,5544.0,5750.0,5544.0,4.6226551226551225,-1498.0,,Public
St Louis College of Health Careers-St Louis,32217.0,,9500.0,,,-6203.0,,Private_forprofit
State Fair Community College,35562.0,4104.0,6500.0,4104.0,6.081384015594542,-2858.0,,Public
Stephens College,43071.0,28200.0,19489.0,28200.0,-0.16375886524822694,4651.0,10.25349387228553,Private_nonprofit
Southeast Missouri State University,44030.0,9496.0,14750.0,9496.0,2.0834035383319294,5610.0,4.32192513368984,Public
Missouri State University-Springfield,49827.0,9024.0,16200.0,9024.0,2.726396276595745,11407.0,2.21127377925835,Public
Three Rivers College,32442.0,4860.0,7061.0,4860.0,4.222427983539094,-5978.0,,Public
North Central Missouri College,40837.0,4950.0,8000.0,4950.0,5.6337373737373735,2417.0,5.357881671493587,Public
Kansas City University,,,,,,,,Private_nonprofit
Washington University in St Louis,86182.0,62982.0,15000.0,62982.0,0.13019592899558605,47762.0,1.6327205728403333,Private_nonprofit
Webster University,50876.0,30730.0,18500.0,30730.0,0.05356329319882851,12456.0,3.9523121387283235,Private_nonprofit
Westminster College,52199.0,34188.0,19463.0,34188.0,-0.04247104247104247,13779.0,3.893678786559257,Private_nonprofit
William Jewell College,59268.0,19890.0,19250.0,19890.0,1.011965811965812,20848.0,1.8773983115886417,Private_nonprofit
William Woods University,42401.0,28860.0,14425.0,28860.0,-0.03063063063063063,3981.0,10.872896257221804,Private_nonprofit
Academy of Cosmetology Inc,,,6948.0,,,,,Private_forprofit
Blackfeet Community College,22953.0,3610.0,,3610.0,,-15467.0,,Private_nonprofit
Butte Academy of Beauty Culture,,,5500.0,,,,,Private_forprofit
Highlands College of Montana Tech,54329.0,3980.0,9847.0,3980.0,10.17638190954774,15909.0,0.8691306807467472,Public
Crevier's Academy of Cosmetology Arts,14047.0,,8167.0,,,-24373.0,,Private_forprofit
Carroll College,61772.0,40352.0,21000.0,40352.0,0.010408406026962727,23352.0,2.6272696128811237,Private_nonprofit
Dawson Community College,41951.0,4485.0,5500.0,4485.0,7.127313266443701,3531.0,2.827810818465024,Public
Chief Dull Knife College,20073.0,2260.0,,2260.0,,-18347.0,,Public
Montana State University Billings,44296.0,6706.0,10086.0,6706.0,4.1014017297942145,5876.0,2.8577263444520082,Public
Flathead Valley Community College,38520.0,4748.0,6719.0,4748.0,5.69776748104465,100.0,114.67,Public
Aaniiih Nakoda College,30528.0,3600.0,,3600.0,,-7892.0,,Public
Fort Peck Community College,14747.0,2250.0,,2250.0,,-23673.0,,Public
Great Falls College Montana State University,38034.0,3904.0,7992.0,3904.0,6.695184426229508,-386.0,,Public
University of Providence,48296.0,29018.0,12500.0,29018.0,0.2335791577641464,9876.0,4.203928716079385,Private_nonprofit
Helena College University of Montana,40738.0,3975.0,9500.0,3975.0,6.858616352201258,2318.0,5.813201035375323,Public
Little Big Horn College,21152.0,3200.0,,3200.0,,-17268.0,,Public
Miles Community College,42862.0,5648.0,8025.0,5648.0,5.168024079320113,4442.0,3.0781179648806845,Public
Montana Technological University,54329.0,8050.0,9847.0,8050.0,4.525714285714286,15909.0,1.1249607140612232,Public
Montana State University,53263.0,8083.0,13748.0,8083.0,3.8886552022763827,14843.0,1.4707943138179613,Public
The University of Montana,44511.0,8152.0,15000.0,8152.0,2.6200932286555445,6091.0,3.8010178952552947,Public
Montana State University-Northern,49505.0,6269.0,10560.0,6269.0,5.212314563726272,11085.0,1.5181777176364457,Public
Rocky Mountain College,49036.0,33252.0,12000.0,33252.0,0.11379766630578612,10616.0,4.262622456669178,Private_nonprofit
Salish Kootenai College,32725.0,4311.0,8450.0,4311.0,4.630944096497332,-5695.0,,Public
The University of Montana-Western,43229.0,6430.0,12000.0,6430.0,3.856765163297045,4809.0,3.832397587856103,Public
Bellevue University,61289.0,8886.0,11000.0,8886.0,4.659351789331533,22869.0,0.8695614150159605,Private_nonprofit
Clarkson College,64876.0,15168.0,19500.0,15168.0,1.9915611814345993,26456.0,1.310402177199879,Private_nonprofit
Bryan College of Health Sciences,70845.0,20070.0,22250.0,20070.0,1.4212755356253115,32425.0,1.305165767154973,Private_nonprofit
Central Community College,39429.0,3360.0,5500.0,3360.0,9.097916666666666,1009.0,8.780971258671952,Public
Chadron State College,47002.0,8078.0,11343.0,8078.0,3.414335231492944,8582.0,2.2629923094849684,Public
College of Hair Design-Downtown,28376.0,,8031.0,,,-10044.0,,Private_forprofit
Concordia University-Nebraska,52415.0,39330.0,18750.0,39330.0,-0.14403763030765318,13995.0,4.15005359056806,Private_nonprofit
Creighton University,73911.0,47000.0,21500.0,47000.0,0.11512765957446809,35491.0,1.9300667774928855,Private_nonprofit
Doane University,53316.0,40491.0,19500.0,40491.0,-0.1648514484700304,14896.0,4.027322771213749,Private_nonprofit
Hastings College,51303.0,36130.0,15595.0,36130.0,-0.011680044284528093,12883.0,4.014980982690367,Private_nonprofit
CHI Health School of Radiologic Technology,48110.0,,,,,9690.0,,Private_nonprofit
Joseph's College Cosmetology,23032.0,,10000.0,,,-15388.0,,Private_forprofit
University of Nebraska at Kearney,50105.0,8302.0,13070.0,8302.0,3.4609732594555527,11685.0,1.8290115532734275,Public
Nebraska Methodist College of Nursing & Allied Health,65071.0,18173.0,21784.0,18173.0,1.3819402410168933,26651.0,1.4992683201380812,Private_nonprofit
Metropolitan Community College Area,38773.0,3285.0,4061.0,3285.0,9.566818873668188,353.0,20.810198300283286,Public
Mid-Plains Community College,40059.0,3600.0,6291.0,3600.0,8.38,1639.0,6.034777303233679,Public
Midland University,52163.0,40270.0,15000.0,40270.0,-0.0771542090886516,13743.0,4.021683766281016,Private_nonprofit
University of Nebraska at Omaha,53909.0,8370.0,12750.0,8370.0,3.9174432497013143,15489.0,1.3635483246174704,Public
Nebraska Indian Community College,31458.0,4080.0,,4080.0,,-6962.0,,Public
University of Nebraska Medical Center,76833.0,,14000.0,,,38413.0,,Public
Nebraska Wesleyan University,56405.0,41658.0,17500.0,41658.0,-0.06608574583513371,17985.0,3.289296636085627,Private_nonprofit
University of Nebraska-Lincoln,56887.0,10108.0,14750.0,10108.0,3.1686782746339532,18467.0,1.3460767856175881,Public
Northeast Community College,42634.0,3840.0,7244.0,3840.0,8.216145833333334,4214.0,2.630280018984338,Public
Peru State College,47071.0,8280.0,12000.0,8280.0,3.2356280193236713,8651.0,2.3442376603860824,Public
Summit Christian College,,8278.0,,8278.0,,,,Private_nonprofit
College of Saint Mary,54338.0,23340.0,17500.0,23340.0,0.5783204798628964,15918.0,2.5656489508732254,Private_nonprofit
Southeast Community College Area,43405.0,3540.0,6672.0,3540.0,9.376553672316383,4985.0,2.048545636910732,Public
Union Adventist University,55045.0,27990.0,18750.0,27990.0,0.296713111825652,16625.0,2.8114285714285714,Private_nonprofit
Nebraska College of Technical Agriculture,56887.0,5756.0,14750.0,5756.0,6.320535093815149,18467.0,1.1104131694373747,Public
Wayne State College,47075.0,7970.0,12240.0,7970.0,3.3707653701380176,8655.0,2.3350664355863664,Public
Western Nebraska Community College,38729.0,3000.0,5500.0,3000.0,10.076333333333332,309.0,27.508090614886733,Public
York University,44130.0,21600.0,14250.0,21600.0,0.38333333333333336,5710.0,6.2784588441331,Private_nonprofit
Academy of Hair Design-Las Vegas,24391.0,,6211.0,,,-14029.0,,Private_forprofit
College of Southern Nevada,38087.0,4110.0,4500.0,4110.0,7.1720194647201945,-333.0,,Public
Las Vegas College,31398.0,17684.0,7951.0,17684.0,0.32588780818819274,-7022.0,,Private_forprofit
University of Nevada-Las Vegas,55037.0,9142.0,12500.0,9142.0,3.6529205863049663,16617.0,1.3024011554432209,Public
University of Nevada-Reno,60614.0,8994.0,13000.0,8994.0,4.293973760284635,22194.0,0.9909885554654411,Public
Great Basin College,39289.0,3855.0,8973.0,3855.0,6.864072632944228,869.0,14.761795166858459,Public
Truckee Meadows Community College,44573.0,3144.0,6999.0,3144.0,10.951017811704835,6153.0,1.6484641638225257,Public
Western Nevada College,41987.0,3920.0,9000.0,3920.0,7.415051020408163,3567.0,3.6220913933277266,Public
Colby-Sawyer College,46474.0,18400.0,19500.0,18400.0,0.46597826086956523,8054.0,4.705736280109263,Private_nonprofit
Dartmouth College,97434.0,65739.0,15157.0,65739.0,0.25157060496813155,59014.0,1.370793371064493,Private_nonprofit
Empire Beauty School-Laconia,33546.0,,7461.0,,,-4874.0,,Private_forprofit
Empire Beauty School-Somersworth,,,6333.0,,,,,Private_forprofit
Franklin Pierce University,53353.0,44963.0,19500.0,44963.0,-0.24709205346618332,14933.0,4.316815107480077,Private_nonprofit
University of New Hampshire-Franklin Pierce School of Law,66479.0,,22498.0,,,28059.0,,Public
Keene Beauty Academy,,,8371.0,,,,,Private_forprofit
Magdalen College,35809.0,23600.0,11331.0,23600.0,0.03720338983050848,-2611.0,,Private_nonprofit
New England College,42092.0,41578.0,15603.0,41578.0,-0.36290826879599786,3672.0,15.572167755991286,Private_nonprofit
Southern New Hampshire University,50318.0,16450.0,9169.0,16450.0,1.5014589665653495,11898.0,2.153219028408136,Private_nonprofit
New Hampshire Institute for Therapeutic Arts,,,,,,,,Private_forprofit
University of New Hampshire-Main Campus,66479.0,19112.0,22498.0,19112.0,1.3012243616575974,28059.0,1.4829466481342886,Public
Keene State College,54368.0,14710.0,19500.0,14710.0,1.3703602991162473,15948.0,2.1450965638324555,Public
University of New Hampshire at Manchester,66479.0,15820.0,22498.0,15820.0,1.7800884955752212,28059.0,1.3656224384333013,Public
Plymouth State University,57304.0,14558.0,17000.0,14558.0,1.7685121582634977,18884.0,1.6711501800466002,Public
NHTI-Concord's Community College,48943.0,7200.0,9168.0,7200.0,4.524305555555555,10523.0,1.555449966739523,Public
White Mountains Community College,35037.0,7050.0,8400.0,7050.0,2.7782978723404255,-3383.0,,Public
River Valley Community College,44700.0,6940.0,10000.0,6940.0,4.0,6280.0,2.6974522292993632,Public
Lakes Region Community College,51182.0,6720.0,9500.0,6720.0,5.202678571428572,12762.0,1.2709606644726532,Public
Manchester Community College,49063.0,7090.0,9500.0,7090.0,4.580112834978843,10643.0,1.558771023207742,Public
Nashua Community College,46164.0,7140.0,7833.0,7140.0,4.368487394957983,7744.0,1.9334969008264462,Public
Great Bay Community College,42397.0,7200.0,7466.0,7200.0,3.8515277777777777,3977.0,3.6877042997234097,Public
Paul Mitchell the School-Portsmouth,,,9833.0,,,,,Private_forprofit
Rivier University,52248.0,37791.0,21000.0,37791.0,-0.17313646106215766,13828.0,4.251590974833671,Private_nonprofit
Saint Anselm College,73371.0,46810.0,26987.0,46810.0,-0.009100619525742364,34951.0,2.1114417327115103,Private_nonprofit
St Joseph School of Nursing,,22978.0,14125.0,22978.0,,,,Private_nonprofit
University of New Hampshire College of Professional Studies Online,66479.0,7812.0,22498.0,7812.0,4.629928315412187,28059.0,1.080223814105991,Public
Thomas More College of Liberal Arts,53565.0,29300.0,22475.0,29300.0,0.061092150170648465,15145.0,3.4186200066028394,Private_nonprofit
Eastwick College-Hackensack,39762.0,16913.0,10617.0,16913.0,0.7232306509785372,1342.0,20.514157973174367,Private_forprofit
Assumption College for Sisters,,5773.0,,5773.0,,,,Private_nonprofit
Atlantic Cape Community College,34241.0,4863.0,7382.0,4863.0,4.523133867982727,-4179.0,,Public
Fortis Institute-Wayne,36920.0,,9100.0,,,-1500.0,,Private_forprofit
Bergen Community College,46624.0,4757.0,8250.0,4757.0,7.066848854319949,8204.0,1.5854461238420283,Public
Berkeley College-Woodland Park,40251.0,28600.0,15414.0,28600.0,-0.13157342657342658,1831.0,24.03823047515019,Private_forprofit
Beth Medrash Govoha,47544.0,,5500.0,,,9124.0,,Private_nonprofit
Bloomfield College,45902.0,30680.0,18500.0,30680.0,-0.10684485006518905,7482.0,6.57310879443999,Private_nonprofit
Brookdale Community College,44379.0,5921.0,8341.0,5921.0,5.086471879750042,5959.0,2.3933545896962576,Public
Rowan College at Burlington County,44745.0,4968.0,7000.0,4968.0,6.597624798711755,6325.0,1.8921739130434783,Public
Caldwell University,53843.0,39450.0,18500.0,39450.0,-0.10410646387832699,15423.0,3.757375348505479,Private_nonprofit
Camden County College,41212.0,3960.0,6750.0,3960.0,7.702525252525253,2792.0,3.8359598853868193,Public
Centenary University,53726.0,37732.0,19321.0,37732.0,-0.08817449379836743,15306.0,3.7274924866065597,Private_nonprofit
Adult and Continuing Education-BCTS,49739.0,,3500.0,,,11319.0,,Public
Lincoln Technical Institute-Iselin,31914.0,,9000.0,,,-6506.0,,Private_forprofit
American Institute-Clifton,28710.0,,9304.0,,,-9710.0,,Private_forprofit
County College of Morris,50243.0,6210.0,5750.0,6210.0,6.164734299516908,11823.0,1.0115875835236403,Public
Rowan College of South Jersey-Cumberland Campus,41751.0,4980.0,7664.0,4980.0,5.844779116465864,3331.0,3.7958570999699788,Public
Drew University,63646.0,45360.0,21000.0,45360.0,-0.059832451499118165,25226.0,2.6306192024102115,Private_nonprofit
Lincoln Technical Institute-South Plainfield,46396.0,,9524.0,,,7976.0,,Private_forprofit
Essex County College,37230.0,5346.0,,5346.0,,-1190.0,,Public
Empire Beauty School-Union,23925.0,,7667.0,,,-14495.0,,Private_forprofit
Fairleigh Dickinson University-Metropolitan Campus,57273.0,35822.0,19500.0,35822.0,0.054463737368097814,18853.0,2.9343871001962554,Private_nonprofit
Felician University,57602.0,37830.0,19250.0,37830.0,0.013798572561459159,19182.0,2.9757063914086124,Private_nonprofit
Fairleigh Dickinson University-Florham Campus,57273.0,35822.0,19500.0,35822.0,0.054463737368097814,18853.0,2.9343871001962554,Private_nonprofit
Hohokus School of Trade and Technical Sciences,43917.0,,7600.0,,,5497.0,,Private_forprofit
Georgian Court University,53096.0,37110.0,16984.0,37110.0,-0.026893020749124225,14676.0,3.6858817116380487,Private_nonprofit
Rowan University,59988.0,15700.0,16750.0,15700.0,1.7540127388535032,21568.0,1.5045437685459941,Public
Rowan College of South Jersey-Gloucester Campus,41751.0,4980.0,7664.0,4980.0,5.844779116465864,3331.0,3.7958570999699788,Public
Empire Beauty School-Cherry Hill,24397.0,,6756.0,,,-14023.0,,Private_forprofit
Eastwick College-Ramsey,51725.0,17028.0,13771.0,17028.0,1.228917077754287,13305.0,2.3148440435926343,Private_forprofit
Holy Name Medical Center-Sister Claire Tynan School of Nursing,87408.0,23489.0,14750.0,23489.0,2.093277704457406,48988.0,0.7805789172858659,Private_nonprofit
Hudson County Community College,34333.0,5020.0,6000.0,5020.0,4.64402390438247,-4087.0,,Public
New Jersey City University,52745.0,13971.0,14250.0,13971.0,1.7553503686207144,14325.0,1.9700523560209424,Public
Kean University,57237.0,13426.0,17199.0,13426.0,1.9821242365559362,18817.0,1.627517670191848,Public
Lincoln Technical Institute-Union,46396.0,,9524.0,,,7976.0,,Private_forprofit
Rizzieri Aveda School for Beauty and Wellness,29601.0,,5500.0,,,-8819.0,,Private_forprofit
Mercer County Community College,43264.0,5082.0,7000.0,5082.0,6.135773317591499,4844.0,2.494219653179191,Public
Middlesex College,46861.0,4524.0,5500.0,4524.0,8.142572944297083,8441.0,1.1875370216798957,Public
Monmouth University,67991.0,44850.0,23250.0,44850.0,-0.002430323299888517,29571.0,2.30293192654966,Private_nonprofit
Montclair State University,61415.0,14766.0,17500.0,14766.0,1.974062034403359,22995.0,1.403174603174603,Public
JFK Muhlenberg Harold B. and Dorothy A. Snyder Schools,73894.0,24916.0,21000.0,24916.0,1.122892920211912,35474.0,1.2943564300614534,Private_nonprofit
Eastwick College-Nutley,42827.0,14846.0,9500.0,14846.0,1.2448470968611074,4407.0,5.524393011118675,Private_forprofit
New Brunswick Theological Seminary,,,,,,,,Private_nonprofit
Robert Fiance Beauty Schools-West New York,18123.0,,6333.0,,,-20297.0,,Private_forprofit
New Jersey Institute of Technology,84276.0,19022.0,17500.0,19022.0,2.510461570812743,45856.0,0.7964497557571528,Public
Ocean County College,45210.0,4690.0,8500.0,4690.0,6.8272921108742,6790.0,1.9425625920471281,Public
P B Cosmetology Education Center,26800.0,,6333.0,,,-11620.0,,Private_forprofit
Parisian Beauty School,27767.0,,6333.0,,,-10653.0,,Private_forprofit
Passaic County Community College,36972.0,5580.0,5500.0,5580.0,4.640143369175627,-1448.0,,Public
Pennco Tech-Blackwood,42013.0,,5922.0,,,3593.0,,Private_forprofit
Princeton Theological Seminary,,,,,,,,Private_nonprofit
Princeton University,110066.0,59710.0,10000.0,59710.0,0.6758666889968179,71646.0,0.9729782541942328,Private_nonprofit
Rabbinical College of America,34990.0,13000.0,,13000.0,,-3430.0,,Private_nonprofit
Ramapo College of New Jersey,67541.0,15978.0,15000.0,15978.0,2.2883339591938916,29121.0,1.0637684145462039,Public
Robert Fiance Beauty Schools,27359.0,,6333.0,,,-11061.0,,Private_forprofit
Rider University,62208.0,38900.0,20500.0,38900.0,0.07218508997429306,23788.0,2.497057339835211,Private_nonprofit
Rutgers University-Camden,74479.0,17079.0,19000.0,17079.0,2.2483751976111015,36059.0,1.000554646551485,Public
Rutgers University-New Brunswick,74479.0,17239.0,19000.0,17239.0,2.218226115203898,36059.0,1.0049918189633655,Public
Rutgers University-Newark,74479.0,16586.0,19000.0,16586.0,2.344929458579525,36059.0,0.9868826090573782,Public
Capital Health School of Radiologic Technology,,,,,,,,Private_nonprofit
Capital Health School of Nursing,,,,,,,,Private_nonprofit
Saint Peter's University,57815.0,41054.0,16091.0,41054.0,0.0163199688215521,19395.0,2.946377932456819,Private_nonprofit
Salem Community College,38020.0,6150.0,8250.0,6150.0,3.840650406504065,-400.0,,Public
Seton Hall University,70196.0,51370.0,17886.0,51370.0,0.018298617870352345,31776.0,2.1795065458207454,Private_nonprofit
Shore Beauty School,21377.0,,6333.0,,,-17043.0,,Private_forprofit
Saint Elizabeth University,53038.0,35942.0,13000.0,35942.0,0.11396138222692115,14618.0,3.3480640306471474,Private_nonprofit
Raritan Valley Community College,48145.0,5520.0,6000.0,5520.0,6.634963768115942,9725.0,1.1845758354755784,Public
Stevens Institute of Technology,108772.0,60952.0,23250.0,60952.0,0.4031040819005119,70352.0,1.196867182169661,Private_nonprofit
Stockton University,57602.0,15532.0,16380.0,15532.0,1.6540046355910378,19182.0,1.6636429986445627,Public
Talmudical Academy-New Jersey,40344.0,15800.0,,15800.0,,1924.0,,Private_nonprofit
Aviation Institute of Maintenance-Teterboro,73971.0,16757.0,12827.0,16757.0,2.6488631616637823,35551.0,0.8321566200669461,Private_forprofit
Thomas Edison State University,69331.0,6638.0,7813.0,6638.0,8.267550467008135,30911.0,0.46750347772637574,Public
The College of New Jersey,73323.0,18685.0,21500.0,18685.0,1.7735081616269734,34903.0,1.1513336962438758,Public
UCNJ Union College of Union County NJ,41595.0,5280.0,8500.0,5280.0,5.267992424242424,3175.0,4.340157480314961,Public
William Paterson University of New Jersey,57780.0,15150.0,15750.0,15150.0,1.7742574257425743,19360.0,1.5960743801652892,Public
Olympian Academy of Cosmetology,23991.0,,6584.0,,,-14429.0,,Private_forprofit
Central New Mexico Community College,36869.0,1934.0,4500.0,1934.0,15.736814891416753,-1551.0,,Public
Navajo Technical University,26364.0,4250.0,,4250.0,,-12056.0,,Public
New Mexico State University-Dona Ana,39067.0,2322.0,10250.0,2322.0,11.410422049956933,647.0,19.431221020092735,Public
Clovis Community College,34020.0,1472.0,5750.0,1472.0,18.20516304347826,-4400.0,,Public
Eastern New Mexico University-Main Campus,38550.0,6863.0,11000.0,6863.0,3.0142794696196997,130.0,137.40769230769232,Public
Eastern New Mexico University-Roswell Campus,38550.0,2256.0,11000.0,2256.0,11.211879432624114,130.0,101.96923076923076,Public
Institute of American Indian and Alaska Native Culture and Arts Development,24505.0,5801.0,,5801.0,,-13915.0,,Public
New Mexico Highlands University,45937.0,7260.0,9500.0,7260.0,4.018870523415978,7517.0,2.229612877477717,Public
New Mexico Junior College,34233.0,1440.0,5500.0,1440.0,18.95347222222222,-4187.0,,Public
New Mexico Military Institute,57410.0,6990.0,4549.0,6990.0,6.562374821173105,18990.0,0.607635597682991,Public
University of New Mexico-Gallup Campus,44792.0,2575.0,13698.0,2575.0,11.075339805825243,6372.0,2.5538292529817954,Public
New Mexico Institute of Mining and Technology,76489.0,9058.0,11057.0,9058.0,6.22366968425701,38069.0,0.5283826735664189,Public
University of New Mexico-Los Alamos Campus,44792.0,2214.0,13698.0,2214.0,13.044263775971093,6372.0,2.4971751412429377,Public
University of New Mexico-Main Campus,44792.0,8115.0,13698.0,8115.0,2.8316697473813925,6372.0,3.4232580037664784,Public
New Mexico State University-Alamogordo,39067.0,2616.0,10250.0,2616.0,10.015672782874617,647.0,19.88562596599691,Public
Southeast New Mexico College,,1176.0,,1176.0,,,,Public
New Mexico State University-Grants,39067.0,2136.0,10250.0,2136.0,12.491104868913858,647.0,19.143740340030913,Public
New Mexico State University-Main Campus,39067.0,8147.0,10250.0,8147.0,2.5371302319872346,647.0,28.43431221020093,Public
University of New Mexico-Valencia County Campus,44792.0,1878.0,13698.0,1878.0,15.556975505857295,6372.0,2.4444444444444446,Public
Northern New Mexico College,38112.0,6400.0,6500.0,6400.0,3.939375,-308.0,,Public
San Juan College,36513.0,1790.0,6253.0,1790.0,15.905027932960893,-1907.0,,Public
Santa Fe Community College,38005.0,2145.0,9604.0,2145.0,12.24055944055944,-415.0,,Public
University of the Southwest,45389.0,16670.0,14000.0,16670.0,0.8829634073185363,6969.0,4.400918352704836,Private_nonprofit
Southwestern College,,,,,,,,Private_nonprofit
Southwestern Indian Polytechnic Institute,27660.0,1095.0,,1095.0,,-10760.0,,Public
University of New Mexico-Taos Campus,44792.0,2004.0,13698.0,2004.0,14.515968063872256,6372.0,2.4642184557438793,Public
Mesalands Community College,32272.0,2136.0,5295.0,2136.0,11.629681647940075,-6148.0,,Public
Vogue College of Cosmetology-Santa Fe,,,6333.0,,,,,Private_forprofit
Western New Mexico University,39095.0,7868.0,12500.0,7868.0,2.3801474326385357,675.0,30.174814814814816,Public
Vaughn College of Aeronautics and Technology,64973.0,28850.0,14000.0,28850.0,0.7668284228769497,26553.0,1.61375362482582,Private_nonprofit
Adelphi University,75482.0,47290.0,20500.0,47290.0,0.1626559526326919,37062.0,1.8290971884949545,Private_nonprofit
SUNY Adirondack,41267.0,6528.0,8494.0,6528.0,4.020373774509804,2847.0,5.276431331225852,Public
Bryant & Stratton College-Albany,32568.0,18892.0,9500.0,18892.0,0.22104594537370315,-5852.0,,Private_nonprofit
Albany College of Pharmacy and Health Sciences,131426.0,40375.0,25000.0,40375.0,1.635938080495356,93006.0,0.7029116401092402,Private_nonprofit
Albany Law School,,,,,,,,Private_nonprofit
Albany Medical College,,,,,,,,Private_nonprofit
Alfred University,54897.0,39530.0,17751.0,39530.0,-0.06030862635972679,16477.0,3.4764216787036477,Private_nonprofit
Allen School-Brooklyn,34186.0,,9500.0,,,-4234.0,,Private_forprofit
The Ailey School,22782.0,14235.0,13399.0,14235.0,-0.34085001756234634,-15638.0,,Private_nonprofit
American Academy of Dramatic Arts-New York,27019.0,39475.0,12000.0,39475.0,-0.6195313489550348,-11401.0,,Private_nonprofit
American Academy McAllister Institute of Funeral Service,54695.0,20018.0,11000.0,20018.0,1.1827854930562494,16275.0,1.905867895545315,Private_nonprofit
American Musical and Dramatic Academy,26975.0,45560.0,12000.0,45560.0,-0.6713125548726954,-11445.0,,Private_nonprofit
Apex Technical School,41093.0,,9500.0,,,2673.0,,Private_forprofit
Arnot Ogden Medical Center,70775.0,,10750.0,,,32355.0,,Private_nonprofit
